
Club,Carry,Total,Side Dist,Smash Factor,Club Speed,Ball Speed,Back Spin,Side Spin,Launch Angle,Side Angle,Decent Angle,Apex,Flight Time,Type,Face Angle,Club Path
6,195.0,205.2,16.7 L,1.44,90.7,131.1,4569,548 L,13.3,1.2 L,42.0,29.4,6.2,fadedraw,1.5 L,1.8




5,208.4,220.7,0.6 R,1.50,90.5,135.6,4065,102 L,13.0,0.9 R,41.7,30.9,6.4,straight,0.8 R,1.9
5,211.5,224.2,7.6 L,1.49,91.6,136.7,3935,269 L,12.9,0.1 R,41.5,30.7,6.4,fadedraw,0.1 L,2.2
5,211.0,223.6,7.6 R,1.46,93.4,136.6,4018,8 L,13.5,2.1 R,42.7,32.4,6.5,straight,1.9 R,3.3
5,207.9,221.0,2.8 L,1.44,92.6,133.5,3621,255 L,13.3,1.3 R,40.2,29.2,6.3,fadedraw,0.9 R,4.6
5,206.2,218.3,1.0 R,1.39,96.7,134.9,4131,199 L,12.6,1.8 R,41.2,29.7,6.3,straight,1.8 R,1.9




4,217.2,231.5,18.6 L,1.46,95.2,138.8,3146,457 L,10.1,0.7 L,34.4,23.5,5.9,fadedraw,1.1 L,2.5
4,221.6,235.6,1 L,1.50,93.1,140.1,3374,182 L,11.4,1.3 R,38.1,27.8,6.3,fadedraw,1.3 R,1.4
4,216.1,229.6,12.9 L,1.50,92.0,138.2,3489,456 L,11.9,0.5 R,38.7,28.1,6.2,fadedraw,0.3 R,2.3
4,219.7,233.3,3.0 R,1.50,92.8,139.6,3418,103 L,11.2,1.6 R,37.9,27.4,6.2,straight,1.4 R,3.3
4,217.4,230.9,5.6 L,1.50,92.5,138.9,3723,285 L,12.9,1.0 R,41.4,31.4,6.5,fadedraw,0.7 R,3.4



HY3,246.8,262.0,6.3 L,1.48,101.7,150.5,3125,177 L,11.6,0.4 R,40.0,32.8,6.8,fadedraw,0.3 R,0.5
HY3,245.9,262.1,23.3 R,1.48,99.9,147.8,2952,261 R,14.3,2.6 R,42.5,37.5,7.0,drawfade,2.5 R,3.0
HY3,239.2,253.0,6.4 R,1.46,102.6,149.4,3428,121 R,10.6,0.5 R,39.4,30.7,6.6,straight,0.3 R,2.0
HY3,242.7,258.5,18.1 L,1.51,98.7,148.6,2808,341 L,10.4,0.7 L,35.3,27.0,6.3,fadedraw,1.5 L,6.2


M3,292.9,312.6,24 L,1.51,111.2,168.0,1955,327 L,10.6,0.6 L,31.6,27.9,6.6,slicehook,0.8 L,1.7
M3,278.3,296.3,10.5 R,1.51,107.9,162.5,2275,374 R,10.5,2.2 L,34.2,29.3,6.7,hookslice,2.7 L,1.7
M3,293.4,313.9,43.8 L,1.50,110.7,166.5,1896,439 L,12.0,2.7 L,33.7,31.1,6.7,slicehook,3.8 L,7.4
M3,270.1,286.7,24.0 R,1.51,107.8,162.4,2800,642 R,10.6,1.7 L,38.4,32.6,6.9,hookslice,2.2 L,2.4
M3,284.2,303.5,35 L,1.51,110.4,166.4,1895,352 L,9.9,2.6 L,28.9,24.5,6.2,slicehook,2.9 L,0.4
M3,279.7,297.0,43.4 R,1.51,110.8,166.9,2786,778 R,12.1,0.3 R,41.4,38.3,7.3,hookslice,0.1 L,4.3




Driver,278.9,298.4,1.2 L,1.41,116.0,163.2,1832,349 L,10.3,3.9 R,28.8,24.3,6.2,slicehook,-,3.2
Driver,271.7,292.5,18.4 L,1.43,114.1,163.3,1526,427 L,10.3,1.4 R,24.5,20.4,5.6,slicehook,10.8 R,3.2
Driver,274.0,291.9,32.8 R,1.43,111.7,159.9,2380,361 R,11.3,2.4 R,36.3,31.6,6.8,drawfade,-,3.5
Driver,285.4,303.6,20.6 R,1.34,119.2,159.8,2030,24 L,13.5,4.2 R,37.2,35.3,7.0,straight,-,4.2
Driver,276.8,296.1,0.5 R,1.45,113.2,164.1,1914,305 L,9.3,3.7 R,27.6,22.5,6.1,slicehook,-,2.3
